s,left,right
3.01,1.7673063500061807,1.070240293429068
3.02,1.7672285771569964,1.0694258284828781
3.03,1.7671551955494917,1.068716989395221
3.04,1.767095197808948,1.0682019226700739
3.05,1.7670571228242256,1.0679610147084788
3.06,1.7670421175410003,1.0679482299681622
3.07,1.767045313655089,1.068014656091211
3.08,1.767061668135799,1.0680083924303652
3.09,1.767086151680536,1.0677780529016778
3.1,1.767115779985233,1.0672489030504633
3.11,1.7671517657595297,1.066503522930939
3.12,1.767195836933088,1.065643804324753
3.13,1.7672497214355705,1.0647716390135529
3.14,1.7673149294777237,1.0639747583063015
3.15,1.7673917235637566,1.0632597424815164
3.16,1.7674799225189222,1.0626043148682414
3.17,1.7675793446336696,1.0619861640118498
3.18,1.7676898299219703,1.061383234092172
3.19,1.7678116498110816,1.0607785460028956
3.2,1.7679454723312698,1.0601597877169342
3.21,1.7680919802588153,1.0595148207329117
3.22,1.768251854775597,1.0588315923560039
3.23,1.7684253548999258,1.0581207696322885
3.24,1.768611752624278,1.057446138760965
3.25,1.7688101791047255,1.0568790653887614
